clue_id,park,land,anchor_name,status,difficulty,clue_type,player_clue,canonical_answer,proof_type,accepted_aliases,mainline_default,requires_queue,requires_show,requires_character,requires_ride,requires_purchase,requires_audio,requires_video,ops_notes
MN-01,universal-studios,minion-land,Villain-Con Minion Blast,ready-core,easy,landmark,"Before the yellow chaos fully begins, find the convention where villainy is a sport and blasters do the talking.",Illumination's Villain-Con Minion Blast,location-photo,,yes,no,no,no,no,no,no,no,Best opener in Minion Land.
MN-02,universal-studios,minion-land,Rosie the Robot,ready-core,medium,hidden-detail,"Hidden in festive trim near the evil gift-shop side of the land is a robot maid from a classic animated future. Name her.",Rosie the Robot,photo,,yes,no,no,no,no,no,no,no,Strong hidden-detail clue.
MN-03,universal-studios,minion-land,Gru's family tree,ready-expert,medium,queue-detail,"In the queue where humans are transformed into helpers, find the family roots of the world's favorite supervillain.",Gru's family tree,photo-or-written-answer,,no,yes,no,no,no,no,no,no,Queue-dependent and better for expert mode.
MN-04,universal-studios,minion-land,Banana tree,ready-core,easy,environmental,"Among all the fake mayhem, locate the real tropical plant the Minions would defend with their lives.",Banana tree,photo,,yes,no,no,no,no,no,no,no,Simple visual payoff.
MN-05,universal-studios,minion-land,Pop-A-Nana,ready-core,easy,venue-anchor,"Finish with the snack stand that turned one fruit into a full identity. Name the stand.",Pop-A-Nana,photo-or-receipt,,yes,no,no,no,no,yes,no,no,Allow photo so spend is not mandatory.
DA-01,universal-studios,wizarding-world,London phone box,ready-core,easy,interactive-anchor,"Step into the red booth on the London waterfront and dial the five digits that unlock the hidden government line. Who are you connected to?",The Ministry of Magic,written-answer,Ministry message,yes,no,no,no,no,no,no,yes,Use as the signature London-to-Diagon opener.
DA-02,universal-studios,wizarding-world,12 Grimmauld Place,ready-core,easy,hidden-visual,"At number 12, the Black family's hidden servant sometimes peeks from the curtains. Who are you looking for?",Kreacher,photo,,yes,no,no,no,no,no,no,no,Strong fixed visual clue.
DA-03,universal-studios,wizarding-world,Vanishing Cabinet,ready-core,medium,audio-detail,"In the darker corner of the alley, find the cabinet that is never quite empty. What living thing can be heard inside?",Bird chirping,video-or-written-answer,Bird;A bird,yes,no,no,no,no,no,yes,yes,Best when teams can capture audio.
DA-04,universal-studios,wizarding-world,Weasleys' Wizard Wheezes ceiling,ready-core,easy,interior-detail,"Inside the twins' joke shop, the ceiling never behaves like an ordinary ceiling. What is overhead?",Magical fireworks,written-answer-or-photo,Fireworks;Skylight fireworks,yes,no,no,no,no,no,no,no,Fast and recognizable interior answer.
DA-05,universal-studios,wizarding-world,Knockturn Alley spell map,ready-core,medium,mechanic,"Some dark-magic spell locations are not meant to reveal themselves in normal light. What does your spell map show under the blacklights in Knockturn Alley?",Hidden spell locations,photo-or-written-answer,Dark-magic marks,yes,no,no,no,no,no,no,no,Very native-to-land mechanic clue.
DA-06,universal-studios,wizarding-world,Magical Menagerie snake,ready-core,easy,interactive-anchor,"Outside the creature shop, try speaking the language of serpents. Which animal are you talking to?",Snake at Magical Menagerie,video-or-photo,Snake,yes,no,no,no,no,no,no,yes,Easy to verify and on-theme.
DA-07,universal-studios,wizarding-world,Daily Prophet entrance,ready-expert,medium,audio-detail,"The wizarding newspaper is not silent. Stand by the entrance and listen. What kind of activity can you hear?",Newsroom activity,written-answer,Workers preparing the news;Printing sounds,no,no,no,no,no,no,yes,no,Audio clue with looser answer validation.
DA-08,universal-studios,wizarding-world,Leaky Cauldron sign,ready-core,easy,timed-effect,"Find the inn sign where a witch stirs above your head. What surprise do guests get when they stand beneath it?",Water splash,written-answer-or-video,Water drip;Splash;Drip,yes,no,no,no,no,no,no,yes,Good family-friendly discovery moment.
